,dia,comuna,value
159,21,General Lagos,0.475573866980809
160,22,General Lagos,0.475573866980809
161,23,General Lagos,0.475573866980809
162,24,General Lagos,0.475573866980809
163,25,General Lagos,0.475573866980809
164,26,General Lagos,0.475573866980809
165,27,General Lagos,0.475573866980809
166,28,General Lagos,0.475573866980809
167,29,General Lagos,0.475573866980809
168,30,General Lagos,0.475573866980809
169,31,General Lagos,0.475573866980809
170,32,General Lagos,0.475573866980809
171,33,General Lagos,0.475573866980809
172,34,General Lagos,0.475573866980809
173,35,General Lagos,0.475573866980809
174,36,General Lagos,0.475573866980809
175,37,General Lagos,0.475573866980809
176,38,General Lagos,0.475573866980809
177,39,General Lagos,0.4755738669810413
178,40,General Lagos,0.4755738669810413
179,41,General Lagos,0.4755738669810413
180,42,General Lagos,0.4755738669810413
