,camion,comuna,dia,value
126,0,Putre,36,1512.0
127,0,Putre,37,1512.0
128,0,Putre,38,1512.0
129,0,Putre,39,1512.0
130,0,Putre,40,1512.0
131,0,Putre,41,1512.0
132,0,Putre,42,1512.0
133,0,Putre,43,1512.0
134,0,Putre,44,1512.0
135,0,General Lagos,0,0.0
136,0,General Lagos,1,0.0
137,0,General Lagos,2,0.0
138,0,General Lagos,3,0.0
139,0,General Lagos,4,0.0
140,0,General Lagos,5,0.0
141,0,General Lagos,6,0.0
142,0,General Lagos,7,0.0
143,0,General Lagos,8,0.0
144,0,General Lagos,9,0.0
145,0,General Lagos,10,0.0
146,0,General Lagos,11,0.0
147,0,General Lagos,12,0.0
148,0,General Lagos,13,0.0
149,0,General Lagos,14,0.0
150,0,General Lagos,15,0.0
151,0,General Lagos,16,0.0
152,0,General Lagos,17,0.0
153,0,General Lagos,18,0.0
154,0,General Lagos,19,0.0
