,dia,comuna,value
99,99,Arica,0.42251346403841555
100,0,Camarones,0.3873170731707317
101,1,Camarones,0.3873170731707317
102,2,Camarones,0.3873170731707317
103,3,Camarones,0.3873170731707317
104,4,Camarones,0.3873170731707317
105,5,Camarones,0.3873170731707317
106,6,Camarones,0.3873170731707317
107,7,Camarones,0.3873170731707317
108,8,Camarones,0.3873170731707317
109,9,Camarones,0.3873170731707317
110,10,Camarones,0.3873170731707317
111,11,Camarones,0.3873170731707317
112,12,Camarones,0.3873170731707317
113,13,Camarones,0.3873170731707317
114,14,Camarones,0.3873170731707317
115,15,Camarones,0.3873170731707317
116,16,Camarones,0.3873170731707317
117,17,Camarones,0.3873170731707317
118,18,Camarones,0.3873170731707317
119,19,Camarones,0.3873170731707317
120,20,Camarones,0.3873170731707317
121,21,Camarones,0.3873170731707317
122,22,Camarones,0.3873170731707317
123,23,Camarones,0.3873170731707317
124,24,Camarones,0.3873170731707317
125,25,Camarones,0.3873170731707317
126,26,Camarones,0.3873170731707317
127,27,Camarones,0.3873170731707317
128,28,Camarones,0.3873170731707317
129,29,Camarones,0.3873170731707317
130,30,Camarones,0.3873170731707317
131,31,Camarones,0.3873170731707317
132,32,Camarones,0.3873170731707317
133,33,Camarones,0.3873170731707317
134,34,Camarones,0.3873170731707317
135,35,Camarones,0.3873170731707317
136,36,Camarones,0.3873170731707317
137,37,Camarones,0.3873170731707317
138,38,Camarones,0.3873170731707317
139,39,Camarones,0.3873170731707317
140,40,Camarones,0.3873170731707317
141,41,Camarones,0.3873170731707317
142,42,Camarones,0.3873170731707317
143,43,Camarones,0.3873170731707317
144,44,Camarones,0.3873170731707317
145,45,Camarones,0.3873170731707317
146,46,Camarones,0.3873170731707317
147,47,Camarones,0.3873170731707317
148,48,Camarones,0.3873170731707317
149,49,Camarones,0.3873170731707317
150,50,Camarones,0.3873170731707317
151,51,Camarones,0.3873170731707317
152,52,Camarones,0.3873170731707317
153,53,Camarones,0.3873170731707317
154,54,Camarones,0.41170731707317015
155,55,Camarones,0.41170731707317015
156,56,Camarones,0.41170731707317015
157,57,Camarones,0.41170731707317015
158,58,Camarones,0.41170731707317015
159,59,Camarones,0.41170731707317015
160,60,Camarones,0.41170731707317015
161,61,Camarones,0.41170731707317015
162,62,Camarones,0.41170731707317015
163,63,Camarones,0.41170731707317015
164,64,Camarones,0.41170731707317015
165,65,Camarones,0.41170731707317015
166,66,Camarones,0.41170731707317015
167,67,Camarones,0.41170731707317015
168,68,Camarones,0.41170731707317015
169,69,Camarones,0.41170731707317015
170,70,Camarones,0.41170731707317015
171,71,Camarones,0.41170731707317015
172,72,Camarones,0.41170731707317015
173,73,Camarones,0.41170731707317015
174,74,Camarones,0.41170731707317015
175,75,Camarones,0.41170731707317015
176,76,Camarones,0.41170731707317015
177,77,Camarones,0.41170731707317015
178,78,Camarones,0.41170731707317015
179,79,Camarones,0.41170731707317015
180,80,Camarones,0.41170731707317015
181,81,Camarones,0.41170731707317015
182,82,Camarones,0.41170731707317015
183,83,Camarones,0.41170731707317015
184,84,Camarones,0.41170731707317015
185,85,Camarones,0.41170731707317015
186,86,Camarones,0.41170731707317015
187,87,Camarones,0.4360975609756092
188,88,Camarones,0.4360975609756092
189,89,Camarones,0.4360975609756092
190,90,Camarones,0.4360975609756092
191,91,Camarones,0.4360975609756092
192,92,Camarones,0.4360975609756092
193,93,Camarones,0.4360975609756092
194,94,Camarones,0.4360975609756092
195,95,Camarones,0.4360975609756092
196,96,Camarones,0.4360975609756092
197,97,Camarones,0.4360975609756092
198,98,Camarones,0.5580487804878043
199,99,Camarones,0.5580487804878043
200,0,Putre,0.22764423076923077
201,1,Putre,0.22764423076923077
202,2,Putre,0.2516826923076923
203,3,Putre,0.2877403846153846
204,4,Putre,0.2877403846153846
